 OTUID	CHF0M0R1	CHF1M1R1	CHF2M1R1	CHF4M1R1	CHF6M1R1	CHF1M3R1	CHF1M3R2	CHF1M3R3	CHF2M3R1	CHF2M3R2	CHF2M3R3	CHF4M3R1	CHF4M3R2	CHF4M3R3	CHF5M3R1	CHF5M3R2	CHF5M3R3	CHF6M3R1	CHF6M3R2	CHF6M3R3	CHF1M6R1	CHF1M6R2	CHF1M6R3	CHF2M6R1	CHF2M6R2	CHF2M6R3	CHF4M6R1	CHF4M6R2	CHF4M6R3	CHF5M6R1	CHF5M6R2	CHF5M6R3	CHF6M6R1	CHF6M6R2	CHF6M6R3	XWF0M0R1	XWF1M1R1	XWF2M1R1	XWF4M1R1	XWF5M1R1	XWF6M1R1	XWF1M3R1	XWF1M3R2	XWF1M3R3	XWF2M3R1	XWF4M3R1	XWF4M3R2	XWF4M3R3	XWF5M3R1	XWF5M3R2	XWF5M3R3	XWF6M3R1	XWF6M3R2	XWF6M3R3	XWF1M6R1	XWF1M6R2	XWF1M6R3	XWF2M6R1	XWF2M6R2	XWF2M6R3	XWF4M6R1	XWF4M6R2	XWF4M6R3	XWF5M6R1	XWF5M6R2	XWF5M6R3	XWF6M6R1	XWF6M6R2	XWF6M6R3	APF0M0R1	APF1M1R1	APF1M1R2	APF1M1R3	APF2M1R1	APF2M1R2	APF2M1R3	APF4M1R1	APF4M1R2	APF4M1R3	APF5M1R1	APF5M1R2	APF5M1R3	APF6M1R1	APF6M1R2	APF6M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF2M3R1	APF2M3R2	APF2M3R3	APF5M3R1	APF4M3R1	APF4M3R2	APF4M3R3	APF5M3R2	APF5M3R3	APF6M3R1	APF6M3R2	APF6M3R3	APF1M6R1	APF1M6R3	APF2M6R1	APF2M6R2	APF2M6R3	APF4M6R1	APF4M6R2	APF4M6R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M6R2	APF6M6R3	Taxonomy	superkingdom	phylum	class	order	family	genus	species
OTU1016	0	0	0	5	0	0	0	0	0	0	0	5	0	22	0	0	0	0	0	1	0	0	0	0	0	0	7	22	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Choanoflagellida{order}(100);Salpingoecidae{family}(100);Sphaeroeca{genus}(100);Sphaeroeca_leprechaunica{species}(100)	Eukaryota			Choanoflagellida	Salpingoecidae	Sphaeroeca	Sphaeroeca_leprechaunica
OTU1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Fungi{superkingdom}(100);Ascomycota{phylum}(98);Dothideomycetes{class}(95);Pleosporales{order}(94);Unassigned{family}(6);Unassigned{genus}(6);Unassigned{species}(6)	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
OTU1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Unassigned{phylum}(16);Unassigned{order}(14);Unassigned{family}(14);Unassigned{genus}(14);Unassigned{species}(14)	Eukaryota	Unassigned		Unassigned	Unassigned	Unassigned	Unassigned
OTU1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Unassigned{species}(4)	Eukaryota						Unassigned
OTU102	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	1	1	0	0	0	20	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Eukaryota{superkingdom}(100);Fungi{superkingdom}(100);Ascomycota{phylum}(100);Dothideomycetes{class}(100);Capnodiales{order}(100);Mycosphaerellaceae{family}(100);Mycosphaerella{genus}(100);Mycosphaerella_mycopappi{species}(100)	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_mycopappi
OTU1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Unassigned{order}(35);Unassigned{genus}(34);Unassigned{species}(34)	Eukaryota			Unassigned		Unassigned	Unassigned
OTU1021	0	0	0	0	0	7	0	0	138	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Fungi{superkingdom}(100);Ascomycota{phylum}(100);Eurotiomycetes{class}(100);Chaetothyriales{order}(100);Trichomeriaceae{family}(87);Bradymyces{genus}(81);Bradymyces_graniticola{species}(79)	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Bradymyces	Bradymyces_graniticola
OTU1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Euglenida{phylum}(68);Euglenales{order}(61);Unassigned{family}(50);Unassigned{genus}(33);Unassigned{species}(19)	Eukaryota	Euglenida		Euglenales	Unassigned	Unassigned	Unassigned
OTU1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Unassigned{phylum}(11);Unassigned{order}(11);Unassigned{family}(8);Unassigned{genus}(5);Unassigned{species}(5)	Eukaryota	Unassigned		Unassigned	Unassigned	Unassigned	Unassigned
OTU1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Unassigned{phylum}(14);Unassigned{order}(4);Unassigned{family}(4);Unassigned{genus}(4);Unassigned{species}(4)	Eukaryota	Unassigned		Unassigned	Unassigned	Unassigned	Unassigned
