	XWF0M0R1	XWF4M1R1	XWF4M3R1	XWF4M3R2	XWF4M3R3	XWF4M6R1	XWF4M6R2	XWF4M6R3	XWF1M1R1	XWF1M3R1	XWF1M3R2	XWF1M3R3	XWF1M6R1	XWF1M6R2	XWF1M6R3	XWF2M1R1	XWF2M3R1	XWF2M6R1	XWF2M6R2	XWF2M6R3	XWF5M1R1	XWF5M3R1	XWF5M3R2	XWF5M3R3	XWF5M6R1	XWF5M6R2	XWF5M6R3	XWF6M1R1	XWF6M3R1	XWF6M3R2	XWF6M3R3	XWF6M6R1	XWF6M6R2	XWF6M6R3
OTU89	11	132	0	120	71	542	93	998	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	356	1
OTU537	42	235	0	0	95	36	23	23	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0
OTU548	4003	9181	12907	15393	16904	4190	2537	5993	0	792	1	1	4	13	21	292	1	124	757	175	3	4	0	1	91	0	4	5529	67	20	181	244	932	176
OTU1025	0	0	0	0	0	189	310	463	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
OTU426	0	27	6	0	0	98	100	238	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU189	77	903	156	58	281	582	456	606	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2012	0	0	0	0	0	0
OTU2368	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU256	152	1016	3	2	3	7538	14066	20557	0	0	1	4	8	44	34	2	4	52	0	101	1	0	0	3	0	1	0	1643	0	0	1	0	0	0
OTU432	0	0	0	2	0	375	293	85	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU575	54	34	0	0	0	54	97	70	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0
OTU742	0	494	0	1	0	0	72	367	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	644	0	0	0	0	0	0
OTU764	0	83	0	0	0	0	84	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0
OTU793	5	138	445	83	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0
OTU853	0	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU566	176	76	0	9	24	33	14	25	0	0	0	0	0	0	0	0	0	140	0	0	0	2	0	0	0	0	0	389	0	0	0	0	0	0
OTU2	1412	348	519	302	137	165	112	411	6058	3623	1463	5918	1515	5463	7154	8035	766	1672	824	575	1952	1240	601	2313	1539	4382	630	2329	512	340	1183	1497	388	143
OTU21	242	0	1	16	23	6	19	46	1	785	0	0	1	501	503	737	1	108	0	0	4	237	0	967	8	959	0	359	113	170	1574	0	296	2
OTU30	175	221	3	20	17	10	18	47	1194	2	190	2618	293	3368	10501	5853	189	2150	102	6589	808	409	158	2282	533	658	1429	678	24	71	6854	147	1033	85
OTU94	1	2	0	3	85	0	20	0	642	475	573	563	118	85	74	3	17	211	2	0	0	53	31	1043	0	826	0	109	55	3	3	0	1658	0
OTU1	2808	2072	1232	1876	1696	768	587	671	28091	25112	35760	29523	4383	6521	5388	28156	24199	11861	8890	10992	15600	13135	17937	25313	11478	8156	10692	6837	15958	19124	31800	10338	6447	6459
OTU37	80	38	82	39	20	45	25	31	1546	986	786	1735	49	249	276	1997	311	276	322	143	500	230	150	710	298	600	267	287	313	350	509	166	198	144
OTU4	2342	1754	1959	1724	2069	1615	939	1369	30767	20963	26811	41212	5419	7156	12337	16139	11456	10667	9695	10798	10611	6881	15591	29372	16517	11565	8259	7262	12808	20152	21074	12953	13373	2924
OTU5	473	404	399	315	289	261	73	125	5431	3893	5870	4397	635	1348	803	6148	2947	1127	1606	1538	1475	2021	2298	3746	2251	3809	2462	1378	2485	4294	4975	1783	2767	760
OTU6	1421	711	362	142	704	499	219	334	8817	8397	8695	19254	1032	2918	4138	9751	3925	1822	1992	5185	2450	1937	1688	8887	4489	5640	4820	3262	3140	3136	8073	5372	3948	1338
OTU27	175	0	27	0	9	62	15	33	265	354	145	137	59	530	105	201	2	197	314	166	3	210	76	0	150	159	168	93	2	28	189	50	240	92
OTU36	635	120	129	142	32	205	82	121	2634	734	1652	1379	513	2555	283	5696	383	806	1345	1865	2949	818	438	563	585	2438	510	1041	245	535	2329	1228	559	379
OTU3	1560	44	388	485	353	471	175	381	1791	5200	4761	4537	1647	4200	3088	1111	926	1828	9089	2848	745	4231	1449	3988	3118	4653	3107	420	1061	1672	1799	1321	3524	701
OTU1990	0	0	0	0	0	140	17	379	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2365	0	0	0	0	0	0	84	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU654	0	34	25	0	0	76	326	0	0	0	0	0	0	10	0	0	0	0	0	218	0	0	0	1	0	0	0	75	0	0	0	0	0	0
OTU835	0	15	0	0	0	0	15	42	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	82	2	35	0	28	1	44	81	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU144	135	71	36	1	63	10	1	0	1323	1	2	2067	154	0	1	966	202	120	260	107	4190	245	0	1	1	7813	2670	3087	1	41	275	3	3	0
OTU18	3808	17	1308	302	9626	43	28	73	3381	9918	3266	1467	987	3982	903	5531	3454	1043	4108	1100	8962	667	167	7513	4738	1104	966	2025	4364	172	832	482	2366	305
OTU2366	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU362	0	0	35	0	34	109	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU447	4	0	3	1	18	1	1	1	0	1	1	0	0	0	0	4	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU25	111	590	1	1	52	2	20	39	166	1426	409	1	807	0	16	556	157	414	12442	0	115	3	801	669	392	293	919	287	210	2	1	556	920	2131
OTU238	0	0	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU745	0	155	0	0	0	0	86	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0
OTU824	37	103	0	0	0	137	42	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1043	0	0	6	0	0	576	53	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1223	1	0	0	79	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1286	0	0	0	0	57	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1354	0	0	0	0	0	109	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU136	33	0	0	46	506	2764	301	0	0	5	0	0	4	2	0	0	0	0	49	141	61	0	2	0	0	0	0	0	0	0	0	0	0	108
OTU1469	0	0	0	0	0	0	121	95	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1507	0	0	25	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1513	0	0	32	14	7	14	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1539	46	0	0	21	0	329	105	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1543	0	0	0	0	78	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU166	1	0	0	0	0	0	0	0	101	0	16	192	2	16	2	14	0	163	559	4	3	2	0	1	11	0	0	0	0	0	0	17	0	0
OTU1680	0	0	0	0	0	0	58	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1688	0	0	0	0	0	713	417	1816	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU172	0	71	0	0	0	0	293	207	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU216	0	18	3	0	1	53	18	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
OTU2202	0	0	0	0	0	124	180	99	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2342	0	0	0	0	0	48	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2347	0	0	0	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU297	1	230	63	43	133	1092	624	1775	0	1	0	0	1	2	2	0	1	0	0	0	0	0	0	0	0	1	0	308	0	0	0	0	0	0
OTU479	0	1521	160	217	1	236	57	525	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1364	0	0	0	24	0	1
OTU48	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU492	76	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU525	0	2	4	1	2	24	21	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU530	0	0	107	0	0	634	371	637	0	0	0	1	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU585	0	42	210	1807	1460	211	12	1275	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	521	0	0	83	0	0	0
OTU648	0	1248	372	55	671	3091	1168	3361	0	2	1	0	5	4	7	0	0	0	1	0	2	0	0	0	0	0	2	938	0	0	0	0	0	0
OTU659	0	12	9	3328	0	2613	3691	5593	0	0	2	0	3	8	5	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU66	0	1	0	458	0	92	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU681	0	21	0	0	0	994	608	691	0	0	0	0	0	235	1	0	1	0	0	0	1	0	0	0	48	0	0	0	0	0	42	0	0	0
OTU693	0	180	29	0	58	250	103	229	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	29	0	237	0	0	0	0	0	0
OTU746	0	110	0	0	8	0	31	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0
OTU774	0	48	0	0	0	230	45	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0
OTU777	0	341	1	26	99	146	10	196	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	43	0	0	0	0	0	0
OTU80	20	319	1019	537	741	2089	1253	1057	2	0	1	1	3	5	0	4	0	146	93	128	7	88	154	2	1	0	2	394	1	1	2	169	3	1
OTU814	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU822	0	70	0	0	0	19	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU825	0	91	65	0	0	86	89	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
