	APF0M0R1	APF4M1R1	APF4M1R2	APF4M1R3	APF4M3R1	APF4M3R2	APF4M3R3	APF4M6R1	APF4M6R2	APF4M6R3	APF1M1R1	APF1M1R2	APF1M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF1M6R1	APF1M6R3	APF2M1R1	APF2M1R2	APF2M1R3	APF2M3R1	APF2M3R2	APF2M3R3	APF2M6R1	APF2M6R2	APF2M6R3	APF5M1R1	APF5M1R2	APF5M1R3	APF5M3R1	APF5M3R2	APF5M3R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M1R1	APF6M1R2	APF6M1R3	APF6M3R1	APF6M3R2	APF6M3R3	APF6M6R2	APF6M6R3
OTU89	176	0	0	0	492	629	860	65	91	197	0	0	0	0	0	0	136	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	86	0	1	0	0	0	0	0	0
OTU339	1085	0	4	0	0	23	1	5148	4424	19726	0	2	1	0	1	0	0	0	1	0	1	0	0	0	144	0	0	0	1	1	0	0	0	3274	0	78	1	0	1	0	2	0	1	2120
OTU564	0	15361	13702	1	55	4029	78	4	6	103	3	4	1	0	3	1	0	0	0	0	0	0	1	0	0	8194	0	2	0	2	0	2	0	0	1	0	0	0	0	0	1	0	66	1
OTU368	45	0	0	0	68	67	11	15	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU389	183	4	0	0	200	215	170	54	47	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU426	67	0	0	28	85	163	184	9	33	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU130	7359	3999	2325	3950	17943	15069	14304	6013	5020	15542	1	2	657	1	4	48	1630	643	1	1	1	240	387	827	3841	4033	2134	0	1	74	191	0	0	8023	1963	72	119	0	0	345	452	95	1492	1901
OTU189	2	0	0	0	4	4	0	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU256	5	246	420	32	458	143	215	8	134	310	2	0	2	2	0	0	4	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	5	2	0	1	1	0	1	0	3	82
OTU306	1274	0	0	22	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU316	58	0	28	59	164	63	90	20	54	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU369	89	0	0	13	132	127	44	77	61	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU377	47	11	23	22	110	155	121	98	55	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU432	46	0	0	0	208	223	123	27	67	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85
OTU493	12	0	0	0	0	46	62	28	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU79	9501	1999	5585	6105	26235	26889	21221	6806	8090	13167	0	1	4	105	3	8	2589	892	1	3	2	114	1	0	1	2	118	1	3	122	4	48	0	6847	511	525	0	1	213	1	162	9	519	1501
OTU2	149	935	477	1189	197	296	41	37	26	144	2186	1685	2141	836	1687	606	1308	1750	2538	1630	2707	2110	341	709	3876	7419	1145	1672	596	2166	899	559	1627	3732	2204	478	3785	4017	2951	2288	257	1162	2516	1580
OTU30	52	249	447	237	56	32	5	18	22	158	4288	2633	1087	48	129	115	60	132	1642	748	3165	4018	646	553	298	1104	330	1303	1310	781	1159	262	376	1398	327	1	1040	2149	530	1521	283	256	0	5495
OTU9	65	15	171	59	58	0	6	15	9	1	26	190	587	54	246	479	179	375	241	684	105	646	153	302	965	874	660	79	146	538	524	369	273	0	22	15	362	875	375	347	126	481	129	330
OTU52	13	1	4	85	0	2	0	0	0	4	3	1	186	93	172	37	92	123	0	0	68	0	262	23	0	1	2	0	38	139	933	39	0	1	113	0	240	813	87	30	0	1	179	36
OTU1	18	11	14	12	469	1068	821	22	44	22	23254	14350	45147	21435	27578	18210	2	17	17509	17416	25415	3781	10758	22772	1520	0	5	16898	12939	14350	9864	14283	13320	5	13	24	18503	21549	23557	17361	6471	12256	11	9
OTU37	0	0	0	0	68	92	33	0	0	0	568	480	1502	853	570	545	0	1	615	523	406	180	366	440	46	1	0	317	359	338	432	570	411	0	1	1	535	613	553	1693	512	581	0	1
OTU4	973	2081	1705	3414	980	1598	852	213	296	511	16013	9561	21993	19413	15241	14312	3599	2434	14362	11671	14372	9639	11154	25184	13618	13242	7292	11599	9500	11388	12847	15167	8834	22663	5731	5559	20589	20900	16968	24854	17608	18664	6457	3455
OTU5	3	1	4	2	255	531	128	4	5	6	5939	2562	8833	3613	4002	2866	1	0	4073	3360	3799	1269	1656	4454	0	1	0	2069	1905	2645	2387	6465	3365	0	3	8	2825	4356	2827	4367	2295	2061	1	1
OTU6	3	3	3	1	325	646	286	5	4	14	6293	4302	7296	7848	4757	3522	0	2	5213	3693	5510	3696	6946	7049	3	0	2	4020	4392	3572	5350	7069	2129	6	3	7	4209	7065	6785	11916	5561	2133	3	5
OTU233	0	0	23	0	44	19	0	0	4	0	106	0	271	0	1	0	4	0	228	0	160	81	438	5	0	117	225	0	119	70	0	0	1	296	0	0	14	0	362	0	142	98	87	0
OTU27	2	0	0	17	56	6	18	0	4	1	39	0	148	188	188	284	0	2	66	1	43	343	78	266	108	365	19	31	51	0	126	101	211	0	0	24	38	0	61	116	59	751	128	1
OTU36	62	130	386	326	155	405	53	7	17	44	60	676	2182	858	952	783	299	1155	1064	1780	2536	1098	888	1417	597	4834	324	1684	1142	306	732	364	1444	4598	393	339	2420	949	1293	1255	424	1794	183	200
OTU61	58	2	216	166	10	14	0	2	158	9	578	420	308	4	45	91	75	275	327	311	369	264	1	48	238	368	1035	20	992	2863	187	321	17	360	28	98	1333	81	234	987	0	37	23	1186
OTU12	0	31	1	0	1	5	4	15	6	1	36	191	0	1594	8	83	62	6	187	39	0	101	85	122	1	999	0	93	0	5	141	1	4	0	56	3	184	18	6	413	0	0	0	5
OTU3	310	256	372	390	169	261	177	90	290	348	456	512	873	3682	1307	1478	990	583	157	645	886	881	2293	3241	1851	1353	2096	723	1114	479	2580	2861	1235	2835	4137	1046	904	1280	382	3243	1819	2299	5925	10158
